source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[data file]	comment[instrument]	comment[label]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	factor value[organism]
PXD067119-sample-54	Homo sapiens	plasma	1	not available	not available	not available	run 54	proteomic profiling by mass spectrometry	EXP23151_2023ms1325aX5_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-55	Homo sapiens	plasma	1	not available	not available	not available	run 55	proteomic profiling by mass spectrometry	EXP23151_2023ms1324bX42_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-56	Homo sapiens	plasma	1	not available	not available	not available	run 56	proteomic profiling by mass spectrometry	EXP23151_2023ms1323aX24_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-57	Homo sapiens	plasma	1	not available	not available	not available	run 57	proteomic profiling by mass spectrometry	EXP23151_2023ms1324bX79_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-58	Homo sapiens	plasma	1	not available	not available	not available	run 58	proteomic profiling by mass spectrometry	EXP23151_2023ms1324aX27_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-59	Homo sapiens	plasma	1	not available	not available	not available	run 59	proteomic profiling by mass spectrometry	EXP23151_2023ms1324aX18_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-60	Homo sapiens	plasma	1	not available	not available	not available	run 60	proteomic profiling by mass spectrometry	EXP23151_2023ms1323aX33_B.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-61	Homo sapiens	plasma	1	not available	not available	not available	run 61	proteomic profiling by mass spectrometry	EXP23151_2023ms1323aX2_B.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-62	Homo sapiens	plasma	1	not available	not available	not available	run 62	proteomic profiling by mass spectrometry	EXP23151_2023ms1324bX57_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-63	Homo sapiens	plasma	1	not available	not available	not available	run 63	proteomic profiling by mass spectrometry	EXP23151_2023ms1325bX65_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-64	Homo sapiens	plasma	1	not available	not available	not available	run 64	proteomic profiling by mass spectrometry	EXP23151_2023ms1325aX11_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-65	Homo sapiens	plasma	1	not available	not available	not available	run 65	proteomic profiling by mass spectrometry	EXP23151_2023ms1323bX68_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
PXD067119-sample-66	Homo sapiens	plasma	1	not available	not available	not available	run 66	proteomic profiling by mass spectrometry	EXP23151_2023ms1325aX24_A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	1	1	NT=data-independent acquisition	NT=trypsin and LysC	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4;MM=57.021464	Homo sapiens
